File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
chassisfun.o,6.713298%,4271,71,4140,72,59,12
stm32f4xx_hal_pcd.o,4.784659%,3044,0,3044,0,0,0
fz_wm.l,4.677774%,2976,0,2976,0,0,0
m_wm.l,4.662056%,2966,0,2678,288,0,0
stm32f4xx_ll_usb.o,4.570889%,2908,0,2908,0,0,0
stm32f4xx_hal_uart.o,3.634077%,2312,0,2312,0,0,0
usbd_ctlreq.o,3.516190%,2237,1,2236,0,1,0
tasks.o,3.505187%,2230,300,2170,0,60,240
stm32f4xx_hal_can.o,3.373153%,2146,0,2146,0,0,0
stm32f4xx_hal_tim.o,3.285131%,2090,0,2090,0,0,0
uitask.o,3.052499%,1942,34,1908,0,34,0
stm32f4xx_hal_rcc.o,2.967620%,1888,0,1888,0,0,0
judge.o,2.958189%,1882,2407,1804,0,78,2329
gimbalfun.o,2.948758%,1876,44,1784,48,44,0
stm32f4xx_hal_dma.o,2.430053%,1546,0,1538,8,0,0
rred.o,2.011946%,1280,0,1080,200,0,0
pid.o,2.011946%,1280,1200,1280,0,0,1200
shootfun.o,1.784030%,1135,1,1110,24,1,0
usbd_core.o,1.735303%,1104,0,1104,0,0,0
usart.o,1.590695%,1012,684,1012,0,0,684
c_w.l,1.559258%,992,96,992,0,0,96
crcs.o,1.486954%,946,0,178,768,0,0
port.o,1.424080%,906,12,894,0,12,0
daddsub_clz.o,1.298334%,826,0,826,0,0,0
dm4310.o,1.232317%,784,260,752,0,32,228
heap_4.o,1.188306%,756,15392,724,0,32,15360
dbus.o,1.175731%,748,58,748,0,0,58
tuxin.o,1.153725%,734,362,734,0,0,362
ddiv.o,1.081421%,688,0,688,0,0,0
gpio.o,1.012260%,644,0,644,0,0,0
freertos.o,1.012260%,644,628,296,316,32,596
usbd_conf.o,0.993398%,632,1836,632,0,0,1836
tim.o,0.886514%,564,144,564,0,0,144
stm32f4xx_hal_gpio.o,0.851933%,542,0,542,0,0,0
can.o,0.773342%,492,84,488,0,4,80
my_fun.o,0.745049%,474,0,474,0,0,0
stm32f4xx_hal_i2c.o,0.729330%,464,0,464,0,0,0
startup_stm32f407xx.o,0.716756%,456,16896,64,392,0,16896
spi.o,0.697894%,444,280,444,0,0,280
main.o,0.694750%,442,0,442,0,0,0
bsp_can.o,0.672744%,428,0,428,0,0,0
cos_i.o,0.653882%,416,0,368,48,0,0
dsqrt_umaal.o,0.641308%,408,0,408,0,0,0
board_can.o,0.584722%,372,4,368,0,4,0
sin_i.o,0.540710%,344,0,304,40,0,0
dmul.o,0.534423%,340,0,340,0,0,0
stm32f4xx_it.o,0.528136%,336,0,336,0,0,0
stm32f4xx_hal_tim_ex.o,0.471550%,300,0,300,0,0,0
i2c.o,0.408677%,260,84,260,0,0,84
fifo.o,0.405533%,258,0,258,0,0,0
